Campaign name,spend,messages,cost_per_message
Instagram post: Think that pet hair is impossible...,3.69,6.0,0.62
August Camp,52.48,35.0,1.5
"Post: ""Denise’s reaction says it all. We spent the day...""",27.47,17.0,1.62
"Post: ""Full step-by-step breakdown of this Tesla Model Y...""",9.68,5.0,1.94
New Engagement Campaign,109.11,54.0,2.02
Deluxe Ad,17.75,8.0,2.22
"Post: ""Real results, real feedback. 🚗🔥""",67.42,26.0,2.59
"Post: ""Don't ignore your drains until it’s a total...""",24.53,8.0,3.07
