Age,Gender,spend,messages,cost_per_message
55-64,female,13.83,14.0,0.99
25-34,female,1.1,1.0,1.1
45-54,female,24.95,18.0,1.39
65+,female,38.48,25.0,1.54
65+,male,36.93,22.0,1.68
55-64,male,25.65,14.0,1.83
35-44,female,30.98,15.0,2.07
25-34,male,11.6,5.0,2.32
35-44,male,75.47,28.0,2.7
45-54,male,53.15,17.0,3.13
